subjID,Region,ChaCo_mean,ChaCo_std
1002.0000000000,1.0000000000,0.0000000000,0.0000000000
1003.0000000000,1.0000000000,0.0387217970,0.0114960802
1004.0000000000,1.0000000000,0.0006320775,0.0005726959
1005.0000000000,1.0000000000,0.0000000000,0.0000000000
1006.0000000000,1.0000000000,0.0001936045,0.0002549822
1007.0000000000,1.0000000000,0.0000092603,0.0000269821
1008.0000000000,1.0000000000,0.6626696648,0.1016570231
1009.0000000000,1.0000000000,0.0000000000,0.0000000000
1010.0000000000,1.0000000000,0.0019406073,0.0017240157
1011.0000000000,1.0000000000,0.0000000000,0.0000000000
1012.0000000000,1.0000000000,0.0000000000,0.0000000000
1013.0000000000,1.0000000000,0.0000000000,0.0000000000
1014.0000000000,1.0000000000,0.0167039770,0.0088208942
1015.0000000000,1.0000000000,0.0003933680,0.0003876942
1016.0000000000,1.0000000000,0.0023448771,0.0021139573
1017.0000000000,1.0000000000,0.0002430203,0.0002871835
1018.0000000000,1.0000000000,0.0000000000,0.0000000000
1019.0000000000,1.0000000000,0.0000038479,0.0000187266
1020.0000000000,1.0000000000,0.0000000000,0.0000000000
1021.0000000000,1.0000000000,0.0000000000,0.0000000000
1022.0000000000,1.0000000000,0.0000000000,0.0000000000
1023.0000000000,1.0000000000,0.0021270964,0.0028765101
1024.0000000000,1.0000000000,0.0003179405,0.0003080551
1025.0000000000,1.0000000000,0.0009145303,0.0007006214
1026.0000000000,1.0000000000,0.0000722386,0.0000924889
1027.0000000000,1.0000000000,0.0004931201,0.0007376079
1028.0000000000,1.0000000000,0.1264259158,0.0536102083
1029.0000000000,1.0000000000,0.0000000000,0.0000000000
1030.0000000000,1.0000000000,0.0000000000,0.0000000000
1031.0000000000,1.0000000000,0.0000000000,0.0000000000
1032.0000000000,1.0000000000,0.0000000000,0.0000000000
1033.0000000000,1.0000000000,0.0000000000,0.0000000000
1034.0000000000,1.0000000000,0.0000023272,0.0000139862
1035.0000000000,1.0000000000,0.0000000000,0.0000000000
1036.0000000000,1.0000000000,0.0000000000,0.0000000000
1037.0000000000,1.0000000000,0.0050119492,0.0029322948
1038.0000000000,1.0000000000,0.0000209298,0.0000389901
1039.0000000000,1.0000000000,0.0001378006,0.0001541723
1040.0000000000,1.0000000000,0.0000000000,0.0000000000
