sub-ID roi-ID volOverlap volAALroi quotient
1021 005 0 7612 0
1022 005 0 7612 0
1023 005 0 7612 0
1024 005 0 7612 0
1025 005 0 7612 0
1026 005 0 7612 0
1027 005 0 7612 0
1028 005 0 7612 0
1029 005 0 7612 0
1030 005 0 7612 0
1031 005 0 7612 0
1032 005 0 7612 0
1033 005 0 7612 0
1034 005 0 7612 0
1035 005 0 7612 0
1036 005 0 7612 0
1037 005 0 7612 0
1038 005 0 7612 0
1039 005 0 7612 0
1040 005 0 7612 0
1041 005 0 7612 0
1042 005 0 7612 0
1043 005 0 7612 0
1044 005 0 7612 0
1045 005 0 7612 0
1046 005 0 7612 0
1047 005 0 7612 0
1048 005 0 7612 0
1049 005 0 7612 0
1050 005 0 7612 0
1051 005 0 7612 0
1052 005 0 7612 0
1053 005 0 7612 0
1054 005 0 7612 0
1055 005 0 7612 0
1056 005 0 7612 0
1057 005 0 7612 0
1058 005 0 7612 0
1059 005 293 7612 0.0384919
1060 005 0 7612 0
1002 006 0 7811 0
1003 006 0 7811 0
1004 006 0 7811 0
1005 006 0 7811 0
1006 006 0 7811 0
1007 006 0 7811 0
1008 006 0 7811 0
1009 006 0 7811 0
1010 006 0 7811 0
1011 006 0 7811 0
1012 006 0 7811 0
1013 006 0 7811 0
1014 006 0 7811 0
1015 006 0 7811 0
1016 006 0 7811 0
1017 006 0 7811 0
1018 006 0 7811 0
1019 006 0 7811 0
1020 006 0 7811 0
1021 006 0 7811 0
1022 006 0 7811 0
1023 006 0 7811 0
1024 006 0 7811 0
1025 006 0 7811 0
1026 006 0 7811 0
1027 006 0 7811 0
1028 006 0 7811 0
1029 006 0 7811 0
1030 006 0 7811 0
1031 006 0 7811 0
1032 006 0 7811 0
1033 006 0 7811 0
1034 006 0 7811 0
1035 006 0 7811 0
1036 006 0 7811 0
1037 006 0 7811 0
1038 006 0 7811 0
1039 006 0 7811 0
1040 006 0 7811 0
1041 006 0 7811 0
1042 006 0 7811 0
1043 006 0 7811 0
1044 006 0 7811 0
1045 006 0 7811 0
1046 006 0 7811 0
1047 006 0 7811 0
1048 006 0 7811 0
1049 006 0 7811 0
1050 006 0 7811 0
1051 006 0 7811 0
1052 006 0 7811 0
1053 006 0 7811 0
1054 006 25 7811 0.00320061
1055 006 0 7811 0
1056 006 0 7811 0
1057 006 0 7811 0
1058 006 0 7811 0
1059 006 0 7811 0
1060 006 0 7811 0
1002 007 0 38566 0
1003 007 0 38566 0
1004 007 0 38566 0
1005 007 0 38566 0
1006 007 0 38566 0
1007 007 0 38566 0
1008 007 0 38566 0
1009 007 0 38566 0
1010 007 0 38566 0
1011 007 0 38566 0
1012 007 0 38566 0
1013 007 0 38566 0
1014 007 8 38566 0.000207437
1015 007 0 38566 0
1016 007 0 38566 0
1017 007 658 38566 0.0170617
1018 007 0 38566 0
1019 007 0 38566 0
1020 007 0 38566 0
1021 007 0 38566 0
1022 007 0 38566 0
1023 007 0 38566 0
1024 007 0 38566 0
1025 007 0 38566 0
1026 007 34 38566 0.000881606
1027 007 227 38566 0.00588601
1028 007 0 38566 0
1029 007 0 38566 0
1030 007 0 38566 0
1031 007 0 38566 0
1032 007 0 38566 0
1033 007 0 38566 0
1034 007 0 38566 0
1035 007 0 38566 0
1036 007 0 38566 0
1037 007 0 38566 0
1038 007 0 38566 0
1039 007 0 38566 0
1040 007 0 38566 0
1041 007 0 38566 0
1042 007 0 38566 0
1043 007 0 38566 0
1044 007 0 38566 0
1045 007 69 38566 0.00178914
1046 007 0 38566 0
1047 007 0 38566 0
1048 007 0 38566 0
1049 007 3416 38566 0.0885754
1050 007 0 38566 0
1051 007 0 38566 0
1052 007 0 38566 0
1053 007 0 38566 0
1054 007 0 38566 0
1055 007 0 38566 0
1056 007 0 38566 0
1057 007 0 38566 0
1058 007 0 38566 0
1059 007 859 38566 0.0222735
1060 007 0 38566 0
1002 008 0 40068 0
1003 008 0 40068 0
1004 008 0 40068 0
1005 008 2087 40068 0.0520865
1006 008 0 40068 0
1007 008 0 40068 0
1008 008 135 40068 0.00336927
1009 008 0 40068 0
1010 008 0 40068 0
1011 008 0 40068 0
1012 008 0 40068 0
1013 008 0 40068 0
1014 008 0 40068 0
1015 008 0 40068 0
1016 008 0 40068 0
1017 008 0 40068 0
1018 008 0 40068 0
1019 008 0 40068 0
1020 008 0 40068 0
1021 008 0 40068 0
1022 008 0 40068 0
1023 008 0 40068 0
1024 008 0 40068 0
1025 008 0 40068 0
1026 008 0 40068 0
1027 008 0 40068 0
1028 008 72 40068 0.00179695
1029 008 0 40068 0
1030 008 0 40068 0
1031 008 0 40068 0
1032 008 0 40068 0
1033 008 0 40068 0
1034 008 0 40068 0
1035 008 361 40068 0.00900968
1036 008 0 40068 0
1037 008 0 40068 0
1038 008 0 40068 0
1039 008 0 40068 0
1040 008 0 40068 0
1041 008 0 40068 0
1042 008 0 40068 0
1043 008 0 40068 0
1044 008 0 40068 0
1045 008 0 40068 0
1046 008 0 40068 0
1047 008 0 40068 0
1048 008 0 40068 0
1049 008 0 40068 0
1050 008 0 40068 0
1051 008 0 40068 0
1052 008 0 40068 0
1053 008 252 40068 0.00628931
1054 008 2528 40068 0.0630927
1055 008 100 40068 0.00249576
1056 008 0 40068 0
1057 008 0 40068 0
1058 008 0 40068 0
1059 008 0 40068 0
1060 008 0 40068 0
1002 009 0 7070 0
1003 009 0 7070 0
1004 009 0 7070 0
1005 009 0 7070 0
1006 009 0 7070 0
1007 009 0 7070 0
1008 009 0 7070 0
1009 009 0 7070 0
1010 009 0 7070 0
1011 009 0 7070 0
1012 009 0 7070 0
1013 009 0 7070 0
1014 009 0 7070 0
1015 009 0 7070 0
1016 009 0 7070 0
1017 009 0 7070 0
1018 009 0 7070 0
1019 009 0 7070 0
1020 009 0 7070 0
1021 009 0 7070 0
1022 009 0 7070 0
1023 009 0 7070 0
1024 009 0 7070 0
1025 009 0 7070 0
1026 009 0 7070 0
1027 009 0 7070 0
1028 009 0 7070 0
1029 009 0 7070 0
1030 009 0 7070 0
1031 009 0 7070 0
1032 009 0 7070 0
1033 009 0 7070 0
1034 009 0 7070 0
1035 009 0 7070 0
1036 009 0 7070 0
1037 009 0 7070 0
1038 009 0 7070 0
1039 009 0 7070 0
1040 009 0 7070 0
1041 009 0 7070 0
1042 009 0 7070 0
1043 009 0 7070 0
1044 009 0 7070 0
1045 009 0 7070 0
1046 009 0 7070 0
1047 009 0 7070 0
1048 009 0 7070 0
1049 009 0 7070 0
1050 009 0 7070 0
1051 009 0 7070 0
1052 009 0 7070 0
1053 009 0 7070 0
1054 009 0 7070 0
1055 009 0 7070 0
1056 009 0 7070 0
1057 009 0 7070 0
1058 009 0 7070 0
1059 009 543 7070 0.0768034
1060 009 0 7070 0
1002 010 0 8021 0
1003 010 0 8021 0
1004 010 0 8021 0
1005 010 0 8021 0
1006 010 0 8021 0
1007 010 0 8021 0
1008 010 0 8021 0
1009 010 0 8021 0
1010 010 0 8021 0
1011 010 0 8021 0
